[2023-12-22T22:35:22.970+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299930, 0.00272)
[2023-12-22T22:35:22.970+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299977, 0.00107)
[2023-12-22T22:35:22.970+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299981, 0.00082)
[2023-12-22T22:35:22.971+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299982, 0.00266)
[2023-12-22T22:35:22.971+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299983, 0.0026)
[2023-12-22T22:35:22.972+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299984, 0.00103)
[2023-12-22T22:35:22.972+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299985, 0.00089)
[2023-12-22T22:35:22.973+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299985, 0.00145)
[2023-12-22T22:35:22.973+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299985, 0.00061)
[2023-12-22T22:35:22.974+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299986, 0.00073)
[2023-12-22T22:35:22.974+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848267070, 0.04652)
[2023-12-22T22:35:22.975+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299987, 0.00112)
[2023-12-22T22:35:22.975+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299988, 0.00132)
[2023-12-22T22:35:22.976+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299989, 0.00265)
[2023-12-22T22:35:22.976+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299990, 0.00264)
[2023-12-22T22:35:22.976+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299991, 0.00236)
[2023-12-22T22:35:22.977+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299994, 0.00043)
[2023-12-22T22:35:22.977+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299995, 0.00199)
[2023-12-22T22:35:22.977+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299995, 0.00255)
[2023-12-22T22:35:22.978+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299996, 0.00135)
[2023-12-22T22:35:22.978+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299997, 0.00178)
[2023-12-22T22:35:22.979+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848270875, 0.00222)
[2023-12-22T22:35:22.979+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299998, 0.00117)
[2023-12-22T22:35:22.979+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299998, 0.00215)
[2023-12-22T22:35:22.980+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300000, 0.00224)
[2023-12-22T22:35:22.980+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300002, 0.0021)
[2023-12-22T22:35:22.981+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300002, 0.00182)
[2023-12-22T22:35:22.981+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300003, 0.00102)
[2023-12-22T22:35:22.982+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300004, 0.0012)
[2023-12-22T22:35:22.982+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300004, 0.00246)
[2023-12-22T22:35:22.982+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300004, 0.00096)
[2023-12-22T22:35:22.983+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300005, 0.00117)
[2023-12-22T22:35:22.983+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848258958, 0.0005)
[2023-12-22T22:35:22.983+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848259251, 0.00119)
[2023-12-22T22:35:22.984+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848270970, 0.00684)
[2023-12-22T22:35:22.984+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300006, 0.00243)
[2023-12-22T22:35:22.984+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300006, 0.00238)
[2023-12-22T22:35:22.984+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00205)
[2023-12-22T22:35:22.985+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00169)
[2023-12-22T22:35:22.985+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00252)
[2023-12-22T22:35:22.985+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00106)
[2023-12-22T22:35:22.986+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00183)
[2023-12-22T22:35:22.986+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00247)
[2023-12-22T22:35:22.986+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00253)
[2023-12-22T22:35:22.986+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00164)
[2023-12-22T22:35:22.987+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271052, 0.00204)
[2023-12-22T22:35:22.987+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300009, 0.00121)
[2023-12-22T22:35:22.987+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00164)
[2023-12-22T22:35:22.988+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300010, 0.00068)
[2023-12-22T22:35:22.988+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00045)
[2023-12-22T22:35:22.988+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00065)
[2023-12-22T22:35:22.989+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300012, 0.00248)
[2023-12-22T22:35:22.989+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300013, 0.00228)
[2023-12-22T22:35:22.989+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300014, 0.00054)
[2023-12-22T22:35:22.989+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300015, 0.00138)
[2023-12-22T22:35:22.990+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300015, 0.0023)
[2023-12-22T22:35:22.990+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848271360, 0.00025)
[2023-12-22T22:35:22.990+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300017, 0.00134)
[2023-12-22T22:35:22.991+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300019, 0.0023)
[2023-12-22T22:35:22.991+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300022, 0.0017)
[2023-12-22T22:35:22.991+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300297, 0.04003)
[2023-12-22T22:35:22.991+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300347, 0.0006)
[2023-12-22T22:35:22.992+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848301347, 0.00952)
[2023-12-22T22:35:22.992+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848301561, 0.01255)
[2023-12-22T22:35:22.992+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848303268, 0.00298)
[2023-12-22T22:35:22.992+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848303700, 0.00022)
[2023-12-22T22:35:22.993+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304149, 0.00023)
[2023-12-22T22:35:22.993+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848273443, 0.02361)
[2023-12-22T22:35:22.993+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304424, 0.00028)
[2023-12-22T22:35:22.994+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848304454, 0.03039)
[2023-12-22T22:35:22.994+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848304722, 0.01828)
[2023-12-22T22:35:22.994+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848304976, 0.08607)
[2023-12-22T22:35:22.994+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305234, 0.00604)
[2023-12-22T22:35:22.995+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305450, 0.00117)
[2023-12-22T22:35:22.995+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848305583, 0.00023)
[2023-12-22T22:35:22.995+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848305925, 0.0005)
[2023-12-22T22:35:22.996+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848306257, 0.00492)
[2023-12-22T22:35:22.996+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848308010, 0.00162)
[2023-12-22T22:35:22.996+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848275111, 0.00119)
[2023-12-22T22:35:22.997+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848308299, 0.00428)
[2023-12-22T22:35:22.997+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848309335, 0.00722)
[2023-12-22T22:35:22.997+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848309487, 0.00144)
[2023-12-22T22:35:22.997+0000] {logging_mixin.py:188} INFO - (41984.08, 'BINANCE', 'BTCUSDT', 1702848310770, 0.00217)
[2023-12-22T22:35:22.998+0000] {logging_mixin.py:188} INFO - (41984.07, 'BINANCE', 'BTCUSDT', 1702848311664, 0.01543)
[2023-12-22T22:35:22.998+0000] {logging_mixin.py:188} INFO - (41984.08, 'BINANCE', 'BTCUSDT', 1702848311837, 0.00252)
[2023-12-22T22:35:22.998+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848275334, 0.00024)
[2023-12-22T22:35:22.999+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848275771, 0.00082)
[2023-12-22T22:35:22.999+0000] {logging_mixin.py:188} INFO - (41978.0, 'BINANCE', 'BTCUSDT', 1702848278053, 0.00047)
[2023-12-22T22:35:22.999+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848280478, 0.00281)
[2023-12-22T22:35:22.999+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848280589, 0.00038)
[2023-12-22T22:35:23.000+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848259354, 0.00042)
[2023-12-22T22:35:23.000+0000] {logging_mixin.py:188} INFO - (41971.11, 'BINANCE', 'BTCUSDT', 1702848280889, 0.026)
[2023-12-22T22:35:23.000+0000] {logging_mixin.py:188} INFO - (41971.11, 'BINANCE', 'BTCUSDT', 1702848281247, 0.00476)
[2023-12-22T22:35:23.001+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848281620, 0.05597)
[2023-12-22T22:35:23.001+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848281620, 0.00112)
[2023-12-22T22:35:23.001+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282012, 0.00121)
[2023-12-22T22:35:23.001+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282447, 0.00116)
[2023-12-22T22:35:23.002+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282447, 0.00185)
[2023-12-22T22:35:23.002+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848282239, 0.00366)
[2023-12-22T22:35:23.002+0000] {logging_mixin.py:188} INFO - (41971.11, 'BINANCE', 'BTCUSDT', 1702848283506, 0.0238)
[2023-12-22T22:35:23.003+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284936, 0.00407)
[2023-12-22T22:35:23.003+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848260770, 0.00165)
[2023-12-22T22:35:23.003+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.00042)
[2023-12-22T22:35:23.003+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.00697)
[2023-12-22T22:35:23.004+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.01148)
[2023-12-22T22:35:23.004+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.00035)
[2023-12-22T22:35:23.004+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.01142)
[2023-12-22T22:35:23.005+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284961, 0.00038)
[2023-12-22T22:35:23.005+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284984, 0.01148)
[2023-12-22T22:35:23.005+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284984, 0.01142)
[2023-12-22T22:35:23.006+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284984, 0.00699)
[2023-12-22T22:35:23.006+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848284984, 0.0065)
[2023-12-22T22:35:23.007+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848260909, 0.00047)
[2023-12-22T22:35:23.007+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285007, 1e-05)
[2023-12-22T22:35:23.007+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285007, 0.01148)
[2023-12-22T22:35:23.008+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285007, 0.01141)
[2023-12-22T22:35:23.008+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285010, 1e-05)
[2023-12-22T22:35:23.008+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285010, 0.01148)
[2023-12-22T22:35:23.009+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285010, 0.00711)
[2023-12-22T22:35:23.009+0000] {logging_mixin.py:188} INFO - (41971.1, 'BINANCE', 'BTCUSDT', 1702848285033, 0.00431)
[2023-12-22T22:35:23.009+0000] {logging_mixin.py:188} INFO - (41972.9, 'BINANCE', 'BTCUSDT', 1702848291172, 0.00104)
[2023-12-22T22:35:23.009+0000] {logging_mixin.py:188} INFO - (41972.9, 'BINANCE', 'BTCUSDT', 1702848292098, 0.00697)
[2023-12-22T22:35:23.010+0000] {logging_mixin.py:188} INFO - (41972.9, 'BINANCE', 'BTCUSDT', 1702848292098, 0.0067)
[2023-12-22T22:35:23.010+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848260991, 0.00126)
[2023-12-22T22:35:23.010+0000] {logging_mixin.py:188} INFO - (41973.16, 'BINANCE', 'BTCUSDT', 1702848292098, 0.00062)
[2023-12-22T22:35:23.010+0000] {logging_mixin.py:188} INFO - (41973.21, 'BINANCE', 'BTCUSDT', 1702848292098, 0.00657)
[2023-12-22T22:35:23.011+0000] {logging_mixin.py:188} INFO - (41973.42, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.011+0000] {logging_mixin.py:188} INFO - (41973.68, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.011+0000] {logging_mixin.py:188} INFO - (41973.94, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.012+0000] {logging_mixin.py:188} INFO - (41974.2, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.012+0000] {logging_mixin.py:188} INFO - (41974.46, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.012+0000] {logging_mixin.py:188} INFO - (41974.72, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.012+0000] {logging_mixin.py:188} INFO - (41974.98, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.013+0000] {logging_mixin.py:188} INFO - (41975.24, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.013+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848260993, 0.00085)
[2023-12-22T22:35:23.013+0000] {logging_mixin.py:188} INFO - (41975.5, 'BINANCE', 'BTCUSDT', 1702848292104, 0.00062)
[2023-12-22T22:35:23.014+0000] {logging_mixin.py:188} INFO - (41975.51, 'BINANCE', 'BTCUSDT', 1702848292430, 0.00558)
[2023-12-22T22:35:23.014+0000] {logging_mixin.py:188} INFO - (41975.51, 'BINANCE', 'BTCUSDT', 1702848292430, 0.23288)
[2023-12-22T22:35:23.014+0000] {logging_mixin.py:188} INFO - (41975.51, 'BINANCE', 'BTCUSDT', 1702848293679, 0.10308)
[2023-12-22T22:35:23.014+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848298619, 0.00019)
[2023-12-22T22:35:23.015+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299063, 0.00121)
[2023-12-22T22:35:23.015+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299120, 0.0029)
[2023-12-22T22:35:23.015+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299153, 0.00403)
[2023-12-22T22:35:23.016+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299195, 0.00034)
[2023-12-22T22:35:23.016+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299500, 0.00037)
[2023-12-22T22:35:23.016+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848261017, 0.00019)
[2023-12-22T22:35:23.016+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299930, 0.00272)
[2023-12-22T22:35:23.017+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299977, 0.00107)
[2023-12-22T22:35:23.017+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299981, 0.00082)
[2023-12-22T22:35:23.017+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299982, 0.00266)
[2023-12-22T22:35:23.017+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299983, 0.0026)
[2023-12-22T22:35:23.018+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299984, 0.00103)
[2023-12-22T22:35:23.018+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299985, 0.00089)
[2023-12-22T22:35:23.018+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299985, 0.00145)
[2023-12-22T22:35:23.019+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299985, 0.00061)
[2023-12-22T22:35:23.019+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299986, 0.00073)
[2023-12-22T22:35:23.019+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848267070, 0.04652)
[2023-12-22T22:35:23.019+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299987, 0.00112)
[2023-12-22T22:35:23.020+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299988, 0.00132)
[2023-12-22T22:35:23.020+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299989, 0.00265)
[2023-12-22T22:35:23.020+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299990, 0.00264)
[2023-12-22T22:35:23.021+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299991, 0.00236)
[2023-12-22T22:35:23.021+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299994, 0.00043)
[2023-12-22T22:35:23.021+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299995, 0.00199)
[2023-12-22T22:35:23.022+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299995, 0.00255)
[2023-12-22T22:35:23.022+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299996, 0.00135)
[2023-12-22T22:35:23.022+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299997, 0.00178)
[2023-12-22T22:35:23.023+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848270875, 0.00222)
[2023-12-22T22:35:23.023+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848299998, 0.00117)
[2023-12-22T22:35:23.023+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848299998, 0.00215)
[2023-12-22T22:35:23.024+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300000, 0.00224)
[2023-12-22T22:35:23.024+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300002, 0.0021)
[2023-12-22T22:35:23.024+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300002, 0.00182)
[2023-12-22T22:35:23.024+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300003, 0.00102)
[2023-12-22T22:35:23.025+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300004, 0.0012)
[2023-12-22T22:35:23.025+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300004, 0.00246)
[2023-12-22T22:35:23.025+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300004, 0.00096)
[2023-12-22T22:35:23.026+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300005, 0.00117)
[2023-12-22T22:35:23.026+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848258958, 0.0005)
[2023-12-22T22:35:23.026+0000] {logging_mixin.py:188} INFO - (41981.1, 'BINANCE', 'BTCUSDT', 1702848259251, 0.00119)
[2023-12-22T22:35:23.027+0000] {logging_mixin.py:188} INFO - (41981.11, 'BINANCE', 'BTCUSDT', 1702848270970, 0.00684)
[2023-12-22T22:35:23.027+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300006, 0.00243)
[2023-12-22T22:35:23.027+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300006, 0.00238)
[2023-12-22T22:35:23.028+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00205)
[2023-12-22T22:35:23.028+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00169)
[2023-12-22T22:35:23.028+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300007, 0.00252)
[2023-12-22T22:35:23.028+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00106)
[2023-12-22T22:35:23.029+0000] {logging_mixin.py:188} INFO - (41977.99, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00183)
[2023-12-22T22:35:23.029+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00247)
[2023-12-22T22:35:23.029+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00253)
[2023-12-22T22:35:23.030+0000] {logging_mixin.py:188} INFO - (41977.98, 'BINANCE', 'BTCUSDT', 1702848300008, 0.00164)
